parsing_atom_head,parsing_atom_dependent,position
pou=_B-------,qa/nate_N----VSM,after
pou=_B-------,ku/rie_N----VSM,after
i(/na_C-------,ku/rie_N----VSM,before
kai/_C-------,ku/rie_N----VSM,before
i)dou/_L-------,ku/rie_N----VSM,after
nai/_L-------,a)mh/n_J-------,after
nai/_L-------,ku/rie_N----VSM,after
tosou/tou_M----GSN,nai/_L-------,before
a)kou/sate_V2AAM-P-,a)delfoi/_N----VPM,after
a)kou/sate_V2AAM-P-,a)/ndres_N----VPM,before
do/cason_V2AAM-S-,pa/ter_N----VSM,before
e)gkakh/shte_V2AAS-P-,a)delfoi/_N----VPM,before
i)/ste_V2RAM-P-,a)delfoi/_N----VPM,after
ei)=_V2PAI-S-,ku/rie_N----VSM,after
ei)=_V2PAI-S-,su/_E----VS-,before
e)sti/(n)_V3PAI-S-,a)delfoi/_N----VPM,after
e)/rxou_V2PMM-S-,a)mh/n_J-------,before
e)/rxou_V2PMM-S-,*)ihsou=_N----VSM,after
qa/_V2AAM-S-,mara/na_N----VSM,before
klai/eis_V2PAI-S-,gu/nai_N----VSF,before
ei)pe/_V2AAM-S-,dida/skale_N----VSM,before
pisteu/eis_V2PAI-S-,*)agri/ppa_N----VSM,after
plana=sqe_V2PPM-P-,a)delfoi/_N----VPM,after
poih/sw_V1AAS-S-,ku/rie_N----VSM,after
proseu/xesqe_V2PMM-P-,a)delfoi/_N----VPM,before
u(pota/ghte_V2APM-P-,new/teroi_A----VPM,before
fula/cate_V2AAM-P-,tekni/a_N----VPN,before
