parsing_atom_head,parsing_atom_dependent,position
pou=_B-------,qa/nate_N----VSM,after
pou=_B-------,ku/rie_N----VSM,after
i(/na_C-------,ku/rie_N----VSM,before
i(/na_C-------,rabbouni_N----VSM,before
i(/na_C-------,tekni/a_N----VPN,before
kai/_C-------,ku/rie_N----VSM,before
i)dou/_L-------,ku/rie_N----VSM,any
nai/_L-------,a)mh/n_J-------,after
nai/_L-------,ku/rie_N----VSM,after
tosou/tou_M----GSN,nai/_L-------,before
a)gapa=|s_V2PAI-S-,*si/mwn_N----VSM,before
a(gni/sate_V2AAM-P-,di/yuxoi_A----VPM,after
a)kou/sate_V2AAM-P-,a)delfoi/_N----VPM,after
a)kou/sate_V2AAM-P-,a)/ndres_N----VPM,before
a)peleuso/meqa_V1FMI-P-,ku/rie_N----VSM,before
do/cason_V2AAM-S-,pa/ter_N----VSM,before
du/nasqe_V2PMI-P-,gennh/mata_N----VPN,before
e)gkakh/shte_V2AAS-P-,a)delfoi/_N----VPM,before
oi)=das_V2RAI-S-,a)/ner_N----VSM,after
oi)=das_V2RAI-S-,gu/nai_N----VSF,after
oi)=das_V2RAI-S-,ku/rie_N----VSM,before
i)/ste_V2RAM-P-,a)delfoi/_N----VPM,after
ei)=_V2PAI-S-,ku/rie_N----VSM,after
ei)=_V2PAI-S-,su/_E----VS-,before
e)ste/_V2PAI-P-,o)ligo/pistoi_A----VPM,after
e)sti/(n)_V3PAI-S-,a)delfoi/_N----VPM,after
e)le/hson_V2AAM-S-,*)ihsou=_N----VSM,before
e)/rxomai_V1PMI-S-,nai/_L-------,before
e)/rxou_V2PMM-S-,a)mh/n_J-------,before
e)/rxou_V2PMM-S-,*)ihsou=_N----VSM,after
qa/_V2AAM-S-,mara/na_N----VSM,before
qauma/zete_V2PAM-P-,a)delfoi/_N----VPM,after
kaqari/sate_V2AAM-P-,a(martwloi/_A----VPM,after
klai/eis_V2PAI-S-,gu/nai_N----VSF,before
ei)pe/_V2AAM-S-,dida/skale_N----VSM,before
makroqumh/sate_V2AAM-P-,a)delfoi/_N----VPM,after
mimou=_V2PMM-S-,a)gaphte/_A----VSM,before
ni/pteis_V2PAI-S-,ku/rie_N----VSM,before
pisteu/eis_V2PAI-S-,*)agri/ppa_N----VSM,after
pisteu/w_V1PAI-S-,ku/rie_N----VSM,after
plana=sqe_V2PPM-P-,a)delfoi/_N----VPM,after
poih/sw_V1AAS-S-,ku/rie_N----VSM,after
proseu/xesqe_V2PMM-P-,a)delfoi/_N----VPM,before
sw=son_V2AAM-S-,ku/rie_N----VSM,before
sw=son_V2AAM-S-,pa/ter_N----VSM,before
u(pa/geis_V2PAI-S-,ku/rie_N----VSM,before
u(pota/ghte_V2APM-P-,new/teroi_A----VPM,before
u(ywqh/sh|_V2FPI-S-,*kafarnaou/m_N----VSF,before
feu/gete_V2PAM-P-,a)gaphtoi/_A----VPM,before
filei=s_V2PAI-S-,*si/mwn_N----VSM,before
fula/cate_V2AAM-P-,tekni/a_N----VPN,before
xai/rete_V2PAM-P-,a)delfoi/_N----VPM,before
xrh/_V3PAI-S-,a)delfoi/_N----VPM,after
