parsing_atom_head,parsing_atom_dependent,position
a)gaqo/s_A----NSM,ou)dei/s_A----NSM,before
a)/dikos_A----NSM,qeo/s_N----NSM,after
a)nupo/kritos_A----NSF,a)ga/ph_N----NSF,before
e)klektoi/_A----NPM,o)li/goi_A----NPM,before
e)/sxatoi_A----NPM,prw=toi_A----NPM,before
i(kano/s_A----NSM,ti/s_I----NSM,before
*)ioudai/wn_A----GPM,qeo/s_N----NSM,after
kalo/n_A----NSN,kau/xhma_N----NSN,after
maka/rioi_A----NPM,ei)rhnopoioi/_A----NPM,after
maka/rioi_A----NPM,e)leh/mones_A----NPM,after
maka/rioi_A----NPM,kaqaroi/_A----NPM,after
maka/rioi_A----NPM,kai/_C-------,after
maka/rioi_A----NPM,klai/ontes_V-PAPNPM,after
maka/rioi_A----NPM,peinw=ntes_V-PAPNPM,after
maka/rioi_A----NPM,penqou=ntes_V-PAPNPM,after
maka/rioi_A----NPM,praei=s_A----NPM,after
o)li/goi_A----NPM,sw|zo/menoi_V-PPPNPM,after
o(moi/a_A----NSF,deute/ra_A----NSF,before
pisto/s_A----NSM,kalw=n_V-PAPNSM,after
pisto/s_A----NSM,lo/gos_N----NSM,after
prw=toi_A----NPM,e)/sxatoi_A----NPM,before
semna/s_A----APF,gunai=kas_N----APF,before
sklhro/n_A----NSN,lakti/zein_V-PAN---,after
fobero/n_A----NSN,e)mpesei=n_V-AAN---,after
fro/nimoi_A----NPF,pe/nte_A----NPF,before
w(rai=oi_A----NPM,po/des_N----NPM,after
ma=llon_B-------,h(mei=s_E----NP-,after
ou(/tw(s)_B-------,kai/_C-------,after
e)k_P-------,peismonh/_N----NSF,before
kata/_P-------,no/mos_N----NSM,before
kata/_P-------,ti/s_I----NSM,before
meta/_P-------,a)ga/ph_N----NSF,before
meta/_P-------,qeo/s_N----NSM,before
meta/_P-------,ku/rios_N----NSM,before
meta/_P-------,xa/ris_N----NSF,before
u(pe/r_P-------,qeo/s_N----NSM,before
ou(/tw(s)_B-------,a)na/stasis_N----NSF,after
po/qen_B-------,ma/xai_N----NPF,after
po/qen_B-------,po/lemoi_N----NPM,after
pou=_B-------,grammateu/s_N----NSM,after
pou=_B-------,e)nne/a_A----NPM,before
pou=_B-------,kau/xhsis_N----NSF,after
pou=_B-------,ke/ntron_N----NSN,after
pou=_B-------,makarismo/s_N----NSM,after
pou=_B-------,ni=kos_N----NSN,after
pou=_B-------,o)/sfrhsis_N----NSF,after
pou=_B-------,pi/stis_N----NSF,after
pou=_B-------,sofo/s_A----NSM,after
pou=_B-------,suzhthth/s_N----NSM,after
pou=_B-------,sw=ma_N----NSN,after
w(=de_B-------,nou=s_N----NSM,after
kai/_C-------,e)gw/_E----NS-,before
kai/_C-------,ka)gw/_E----NS-,before
kai/_C-------,lo/gos_N----NSM,before
kai/_C-------,o(_D----NSM,before
kai/_C-------,presbu/teroi_A----NPM,before
kai/_C-------,ti/_I----NSN,before
kai/_C-------,ti/s_I----NSM,before
kai/_C-------,u(mei=s_E----NP-,before
a)delfou/s_N----APM,tou=to_M----NSN,before
a)koh/_N----NSF,o(/lon_A----NSN,before
a(marti/a_N----NSF,no/mos_N----NSM,before
a)na/stasis_N----NSF,au(/th_M----NSF,before
