parsing_atom_head,parsing_atom_dependent,position
a)gaqo/n_A----NSN,to/_D----NSN,before
a(/gioi_A----NPM,oi(_D----NPM,before
a(martwloi/_A----NPM,oi(_D----NPM,before
au)to/_A----ASN,to/_D----ASN,before
di/kaion_A----ASM,to/n_D----ASM,before
do/kimon_A----ASM,to/n_D----ASM,before
e)nne/a_A----NPM,oi(_D----NPM,before
e)pieike/s_A----NSN,to/_D----NSN,before
e(pta/_A----NPM,oi(_D----NPM,before
mei/zona_A----APN,ta/_D----APN,before
nekrw=n_A----GPM,tw=n_D----GPM,before
ponhro/n_A----ASM,to/n_D----ASM,before
presbu/teroi_A----NPM,oi(_D----NPM,before
prw=ta_A----NPN,ta/_D----NPN,before
prw/th_A----NSF,h(_D----NSF,before
prw=tos_A----NSM,o(_D----NSM,before
ptwxo/n_A----ASM,to/n_D----ASM,before
suggenh=_A----ASM,to/n_D----ASM,before
fi/loi_A----NPM,oi(_D----NPM,before
fi/lous_A----APM,tou/s_D----APM,before
kai/_C-------,oi(_D----NPM,before
a)ga/ph_N----NSF,h(_D----NSF,before
a)/ggelos_N----NSM,o(_D----NSM,before
a)delfoi/_N----NPM,oi(_D----NPM,before
a)diki/an_N----ASF,th/n_D----ASF,before
a(/|dou_N----GSM,tou=_D----GSM,before
ai)w=nos_N----GSM,tou=_D----GSM,before
a)mpelw=nos_N----GSM,tou=_D----GSM,before
a)na/stasis_N----NSF,h(_D----NSF,before
a)/nqrwpos_N----NSM,o(_D----NSM,before
*)aristobou/lou_N----GSM,tw=n_D----GPM,immediately_before
a)rni/a_N----APN,ta/_D----APN,before
a)rxierei=s_N----NPM,oi(_D----NPM,before
*)asi/as_N----GSF,th=s_D----GSF,immediately_before
a)spasmo/s_N----NSM,o(_D----NSM,before
*barabba=n_N----ASM,to/n_D----ASM,immediately_before
*barabba=s_N----NSM,o(_D----NSM,immediately_before
bh/matos_N----GSN,tou=_D----GSN,before
blasfhmi/as_N----GSF,th=s_D----GSF,before
boulh/mati_N----DSN,tw=|_D----DSN,before
braxi/wn_N----NSM,o(_D----NSM,before
brw/mata_N----APN,ta/_D----APN,before
genea/n_N----ASF,th/n_D----ASF,before
grafh/_N----NSF,h(_D----NSF,before
gunaiko/s_N----GSF,th=s_D----GSF,before
*daui/d_N----GSM,tou=_D----GSM,immediately_before
desmw=n_N----GPM,tw=n_D----GPM,before
dou/lw|_N----DSM,tw=|_D----DSM,before
e)/qnesi(n)_N----DPN,toi=s_D----DPN,before
ei)/dwla_N----APN,ta/_D----APN,before
ei)dw/lwn_N----GPN,tw=n_D----GPN,before
e)kklhsi/ai_N----NPF,ai(_D----NPF,before
e)kklhsi/an_N----ASF,th/n_D----ASF,before
e)cousi/an_N----ASF,th/n_D----ASF,before
e)/rgwn_N----GPN,tw=n_D----GPN,before
eu)aggeli/ou_N----GSN,tou=_D----GSN,before
zw=|a_N----NPN,ta/_D----NPN,before
qeo/s_N----NSM,o(_D----NSM,before
qew=|_N----DSM,tw=|_D----DSM,before
*)ierixw/_N----ASF,th/n_D----ASF,immediately_before
*)ihsou=n_N----ASM,to/n_D----ASM,immediately_before
*)ihsou=s_N----NSM,o(_D----NSM,before
*)itali/as_N----GSF,th=s_D----GSF,immediately_before
i)/xnesi(n)_N----DPN,toi=s_D----DPN,before
kardi/an_N----ASF,th/n_D----ASF,before
karpw=n_N----GPM,tw=n_D----GPM,before
kau/xhma_N----NSN,to/_D----NSN,before
kau/xhsis_N----NSF,h(_D----NSF,before
ke/ntron_N----NSN,to/_D----NSN,before
kh/nsou_N----GSM,tou=_D----GSM,before
ko/mh_N----NSF,h(_D----NSF,before
ko/smou_N----GSM,tou=_D----GSM,before
kri/ma_N----NSN,to/_D----NSN,before
ku/rion_N----ASM,to/n_D----ASM,before
ku/rios_N----NSM,o(_D----NSM,before
kuri/w|_N----DSM,tw=|_D----DSM,before
kw/mas_N----APF,ta/s_D----APF,before
lao/s_N----NSM,o(_D----NSM,before
li/qon_N----ASM,to/n_D----ASM,before
lo/gon_N----ASM,to/n_D----ASM,before
lo/gous_N----APM,tou/s_D----APM,before
maqhtai/_N----NPM,oi(_D----NPM,before
makarismo/s_N----NSM,o(_D----NSM,before
misqo/s_N----NSM,o(_D----NSM,before
*nazwrai=on_N----ASM,to/n_D----ASM,before
