parsing_atom_head,parsing_atom_dependent,position
kai/_C-------,tau=ta_M----APN,after
i)/de_L-------,kathgorou=si(n)_V3PAI-P-,after
i)dou/_L-------,a)/nqrwpos_N----NSM,after
i)dou/_L-------,a)fi/etai_V3PPI-S-,after
i)dou/_L-------,e)gw/_E----NS-,after
i)dou/_L-------,e)ch=lqe(n)_V3AAI-S-,after
i)dou/_L-------,h)/ggike(n)_V3RAI-S-,after
ou)ai/_J-------,u(mi=n_E----DP-,after
o)/felon_L-------,a)poko/yontai_V3FMI-P-,after
o)/felon_L-------,h)=s_V2IAI-S-,after
a)nti/_P-------,peribolai/ou_N----GSN,after
a)po/_P-------,au)th=s_E----GSF,after
a)po/_P-------,bh/matos_N----GSN,after
a)po/_P-------,gunaiko/s_N----GSF,after
a)po/_P-------,ei)dwlolatri/as_N----GSF,after
a)po/_P-------,ei)dw/lwn_N----GPN,after
a)po/_P-------,*)itali/as_N----GSF,after
a)po/_P-------,karpw=n_N----GPM,after
a)po/_P-------,mia=s_A----GSF,after
a)po/_P-------,sto/matos_N----GSN,after
dia/_P-------,dikaiosu/nhn_N----ASF,after
dia/_P-------,no/mou_N----GSM,after
dia/_P-------,pi/stews_N----GSF,after
dia/_P-------,ti/_I----ASN,after
dia/_P-------,tou=to_M----ASN,after
dia/_P-------,*samarei/as_N----GSF,after
dia/_P-------,fqo/non_N----ASM,after
ei)s_P-------,a)e/ra_N----ASM,after
ei)s_P-------,a)skou/s_N----APM,after
ei)s_P-------,au)to/n_E----ASM,after
ei)s_P-------,ba/ptisma_N----ASN,after
ei)s_P-------,*bhqsai+da/n_N----ASF,after
ei)s_P-------,bo/qunon_N----ASM,after
ei)s_P-------,*galilai/an_N----ASF,after
ei)s_P-------,dikaiosu/nhn_N----ASF,after
ei)s_P-------,e(orth/n_N----ASF,after
ei)s_P-------,e)pi/steusan_V3AAI-P-,after
ei)s_P-------,e)/rhmon_A----ASF,after
ei)s_P-------,*)ierixw/_N----ASF,after
ei)s_P-------,*(ieroso/luma_N----APN,after
ei)s_P-------,*kaisa/reian_N----ASF,after
ei)s_P-------,*kafarnaou/m_N----ASF,after
ei)s_P-------,kw/mhn_N----ASF,after
ei)s_P-------,nh=son_N----ASF,after
ei)s_P-------,oi)ki/an_N----ASF,after
ei)s_P-------,oi)=kon_N----ASM,after
ei)s_P-------,o(/n_R----ASM,after
ei)s_P-------,peirasmo/n_N----ASM,after
ei)s_P-------,ploi=on_N----ASN,after
ei)s_P-------,po/lin_N----ASF,after
ei)s_P-------,te/los_N----ASN,after
ei)s_P-------,ti/_I----ASN,after
ei)s_P-------,to/pon_N----ASM,after
ei)s_P-------,u(ma=s_E----AP-,after
ei)s_P-------,xei=ras_N----APF,after
e)k_P-------,a)nqrw/pwn_N----GPM,after
e)k_P-------,*)aristobou/lou_N----GSM,after
e)k_P-------,geneth=s_N----GSF,after
e)k_P-------,kalou=ntos_V-PAPGSM,after
e)k_P-------,nekrw=n_A----GPM,after
e)k_P-------,oi)ki/as_N----GSF,after
e)k_P-------,ou)ranou=_N----GSM,after
e)k_P-------,*samarei/as_N----GSF,after
e)k_P-------,u(mw=n_E----GP-,after
e)k_P-------,*farisai/wn_N----GPM,after
e)k_P-------,w(/ras_N----GSF,after
e)n_P-------,a)ga/ph|_N----DSF,after
e)n_P-------,a)krobusti/a|_N----DSF,after
e)n_P-------,a)rxh=|_N----DSF,after
e)n_P-------,au)toi=s_E----DPM,after
e)n_P-------,au)tw=|_E----DSM,after
e)n_P-------,e(autoi=s_E----DPM,after
e)n_P-------,h(me/ra|_N----DSF,after
e)n_P-------,*)ihsou=_N----DSM,after
e)n_P-------,i(mati/ois_N----DPN,after
e)n_P-------,*kafarnaou/m_N----DSF,after
e)n_P-------,kuri/w|_N----DSM,after
e)n_P-------,lo/gois_N----DPM,after
e)n_P-------,malakoi=s_A----DPN,after
e)n_P-------,panti/_A----DSN,after
e)n_P-------,peritomh=|_N----DSF,after
e)n_P-------,pi/stei_N----DSF,after
e)n_P-------,pneu/mati_N----DSN,after
e)n_P-------,sunagwgh=|_N----DSF,after
e)n_P-------,sunedri/w|_N----DSN,after
e)n_P-------,to/pw|_N----DSM,after
e)n_P-------,tou/tw|_M----DSN,after
e)n_P-------,u(mi=n_E----DP-,after
e)n_P-------,u(pa/gein_V-PAN---,after
e)n_P-------,filh/mati_N----DSN,after
e)n_P-------,*xristw=|_N----DSM,after
e)pa/nw_P-------,pa/ntwn_A----GPN,after
e)pe/keina_P-------,*babulw=nos_N----GSF,after
e)pi/_P-------,au)tw=|_E----DSM,after
e)pi/_P-------,h(me/ras_N----APF,after
e(/ws_P-------,a(/|dou_N----GSM,after
e(/ws_P-------,e(pta/kis_B-------,after
e(/ws_P-------,ou)ranou=_N----GSM,after
e(/ws_P-------,po/te_B-------,after
kata/_P-------,a)/nqrwpon_N----ASM,after
