book,chapter,verse,position,head,word,new_relation
1Pet,1,8,13,ἀγαλλιᾶσθε,χαρᾷ,manner
Gal,5,18,3,ἄγεσθε,πνεύματι,manner
Gal,1,22,7,ἀγνοούμενος,ἐκκλησίαις,agent
Gal,1,22,5,ἀγνοούμενος,προσώπῳ,agent
2Pet,2,12,13,ἀγνοοῦσιν,οἷς,attraction
2Tim,3,6,16,ἀγόμενα,ἐπιθυμίαις,agent
Rom,8,14,3,ἄγονται,πνεύματι,manner
Mark,12,13,14,ἀγρεύσωσιν,λόγῳ,instrument
Col,3,16,28,ᾄδοντες,θεῷ,object
Matt,17,20,31,ἀδυνατήσει,ὑμῖν,other
Luke,19,37,22,αἰνεῖν,φωνῇ,manner
Rev,19,5,10,Αἰνεῖτε,θεῷ,object
John,10,4,12,ἀκολουθεῖ,αὐτῷ,object
Acts,12,8,25,ἀκολούθει,μοι,object
John,1,43,17,Ἀκολούθει,μοι,object
John,21,19,16,Ἀκολούθει,μοι,object
John,21,22,15,ἀκολούθει,μοι,object
Luke,5,27,18,Ἀκολούθει,μοι,object
Luke,9,59,6,Ἀκολούθει,μοι,object
Luke,18,22,26,ἀκολούθει,μοι,object
Mark,2,14,16,Ἀκολούθει,μοι,object
Mark,10,21,30,ἀκολούθει,μοι,object
Matt,8,22,7,Ἀκολούθει,μοι,object
Matt,9,9,18,Ἀκολούθει,μοι,object
Matt,19,21,25,ἀκολούθει,μοι,object
John,12,26,5,ἀκολουθείτω,ἐμοὶ,object
Luke,9,23,22,ἀκολουθείτω,μοι,object
Mark,8,34,26,ἀκολουθείτω,μοι,object
Matt,16,24,23,ἀκολουθείτω,μοι,object
John,13,36,14,ἀκολουθῆσαι,μοι,object
John,13,37,10,ἀκολουθῆσαι,σοι,object
Matt,19,28,13,ἀκολουθήσαντές,μοι,object
John,1,40,17,ἀκολουθησάντων,αὐτῷ,object
Luke,22,10,18,ἀκολουθήσατε,αὐτῷ,object
Mark,14,13,22,ἀκολουθήσατε,αὐτῷ,object
John,10,5,1,ἀκολουθήσουσιν,ἀλλοτρίῳ,object
Luke,9,57,12,Ἀκολουθήσω,σοι,object
Luke,9,61,6,Ἀκολουθήσω,σοι,object
Matt,8,19,9,ἀκολουθήσω,σοι,object
Rev,14,4,15,ἀκολουθοῦντες,ἀρνίῳ,object
Luke,7,9,12,ἀκολουθοῦντι,αὐτῷ,object
Mark,6,1,12,ἀκολουθοῦσιν,αὐτῷ,object
John,10,27,14,ἀκολουθοῦσίν,μοι,object
John,20,6,7,ἀκολουθῶν,αὐτῷ,object
John,8,12,16,ἀκολουθῶν,ἐμοὶ,object
Acts,2,8,8,ἀκούομεν,διαλέκτῳ,other
Acts,24,4,15,ἀκοῦσαί,ἐπιεικείᾳ,manner
Acts,28,26,9,ἀκούσετε,Ἀκοῇ,Hebrew infinitive construct
Matt,13,14,9,ἀκούσετε,Ἀκοῇ,Hebrew infinitive construct
Acts,28,27,24,ἀκούσωσιν,ὠσὶν,instrument
Matt,13,15,24,ἀκούσωσιν,ὠσὶν,instrument
Mark,7,13,7,ἀκυροῦντες,παραδόσει,instrument
Jas,5,14,16,ἀλείψαντες,ἐλαίῳ,instrument
John,11,2,8,ἀλείψασα,μύρῳ,instrument
Gal,4,16,6,ἀληθεύων,ὑμῖν,object
Mark,9,49,3,ἁλισθήσεται,πυρὶ,instrument
Eph,4,23,4,ἀνανεοῦσθαι,πνεύματι,instrument
Matt,13,14,3,ἀναπληροῦται,αὐτοῖς,other
Luke,24,33,5,ἀναστάντες,ὥρᾳ,time
Mark,16,9,4,Ἀναστὰς,πρώτῃ,time
Heb,6,6,8,ἀνασταυροῦντας,ἑαυτοῖς,other
Mark,8,12,4,ἀναστενάξας,πνεύματι,other
Luke,24,7,18,ἀναστῆναι,ἡμέρᾳ,time
Luke,24,46,16,ἀναστῆναι,ἡμέρᾳ,time
Matt,22,24,22,ἀναστήσει,ἀδελφῷ,benefit
Acts,3,22,6,ἀναστήσει,ὑμῖν,benefit
Acts,7,37,11,ἀναστήσει,ὑμῖν,benefit
Luke,18,33,7,ἀναστήσεται,ἡμέρᾳ,time
John,6,39,23,ἀναστήσω,ἡμέρᾳ,time
John,6,40,28,ἀναστήσω,ἡμέρᾳ,time
John,6,54,19,ἀναστήσω,ἡμέρᾳ,time
Rev,8,4,8,ἀνέβη,προσευχαῖς,other
Acts,22,13,14,ἀνέβλεψα,ὥρᾳ,time
Matt,27,46,9,ἀνεβόησεν,φωνῇ,manner
Acts,23,14,9,ἀνεθεματίσαμεν,Ἀναθέματι,instrument
Acts,7,21,12,ἀνεθρέψατο,ἑαυτῇ,other
Acts,12,2,7,ἀνεῖλεν,μαχαίρῃ,instrument
Luke,4,33,13,ἀνέκραξεν,φωνῇ,manner
2Thess,2,8,12,ἀνελεῖ,πνεύματι,instrument
Acts,22,24,10,ἀνετάζεσθαι,μάστιξιν,instrument
Matt,4,16,20,ἀνέτειλεν,αὐτοῖς,other
Matt,4,16,12,ἀνέτειλεν,καθημένοις,other
Luke,1,42,3,ἀνεφώνησεν,κραυγῇ,manner
2Thess,1,4,26,ἀνέχεσθε,αἷς,attraction
1Cor,16,9,3,ἀνέῳγεν,μοι,benefit
2Cor,2,12,13,ἀνεῳγμένης,μοι,benefit
Rom,9,19,10,ἀνθέστηκεν,βουλήματι,object
Rom,13,2,9,ἀνθέστηκεν,διαταγῇ,object
Acts,13,8,3,ἀνθίστατο,αὐτοῖς,object
Luke,2,38,8,ἀνθωμολογεῖτο,θεῷ,object
Luke,2,38,4,ἀνθωμολογεῖτο,ὥρᾳ,time
John,10,3,1,ἀνοίγει,τούτῳ,benefit
Luke,11,10,12,ἀνοιγήσεται,κρούοντι,benefit
Matt,7,8,12,ἀνοιγήσεται,κρούοντι,benefit
Luke,11,9,14,ἀνοιγήσεται,ὑμῖν,benefit
Matt,7,7,11,ἀνοιγήσεται,ὑμῖν,benefit
Col,4,3,10,ἀνοίξῃ,ἡμῖν,benefit
Luke,13,25,22,ἄνοιξον,ἡμῖν,benefit
Matt,25,11,12,ἄνοιξον,ἡμῖν,benefit
Luke,12,36,20,ἀνοίξωσιν,αὐτῷ,benefit
Acts,13,45,14,ἀντέλεγον,λαλουμένοις,object
2Tim,4,15,10,ἀντέστη,λόγοις,object
Gal,2,11,9,ἀντέστην,αὐτῷ,object
2Tim,3,8,8,ἀντέστησαν,Μωϋσεῖ,object
Luke,13,17,9,ἀντικείμενοι,αὐτῷ,object
Luke,21,15,17,ἀντικείμενοι,ὑμῖν,object
Gal,5,17,16,ἀντίκειται,ἀλλήλοις,object
1Tim,1,10,12,ἀντίκειται,διδασκαλίᾳ,object
John,19,12,28,ἀντιλέγει,Καίσαρι,object
Acts,7,51,11,ἀντιπίπτετε,πνεύματι,object
Matt,5,39,8,ἀντιστῆναι,πονηρῷ,object
Jas,4,7,8,ἀντίστητε,διαβόλῳ,object
1Pet,5,9,1,ἀντίστητε,ᾧ,object
Rom,7,23,11,ἀντιστρατευόμενον,νόμῳ,object
Jas,5,6,7,ἀντιτάσσεται,ὑμῖν,object
1Pet,5,5,14,ἀντιτάσσεται,ὑπερηφάνοις,object
Jas,4,6,9,ἀντιτάσσεται,ὑπερηφάνοις,object
Rom,13,2,5,ἀντιτασσόμενος,ἐξουσίᾳ,object
Acts,27,15,10,ἀντοφθαλμεῖν,ἀνέμῳ,object
Mark,14,13,16,ἀπαντήσει,ὑμῖν,object
Mark,14,30,14,ἀπαρνήσῃ,νυκτὶ,time
Eph,5,6,5,ἀπατάτω,λόγοις,instrument
Rom,6,10,5,ἀπέθανεν,ἁμαρτίᾳ,other
Rom,6,2,6,ἀπεθάνομεν,ἁμαρτίᾳ,other
Gal,2,19,5,ἀπέθανον,νόμῳ,other
Rom,5,15,15,ἀπέθανον,παραπτώματι,instrument
1Pet,2,8,10,ἀπειθοῦντες,λόγῳ,object
1Pet,4,17,26,ἀπειθούντων,εὐαγγελίῳ,object
Rom,2,8,8,ἀπειθοῦσι,ἀληθείᾳ,object
Rom,2,8,9,ἀπειθοῦσι,πειθομένοις,conjunction
1Pet,3,1,13,ἀπειθοῦσιν,λόγῳ,object
John,3,36,13,ἀπειθῶν,υἱῷ,object
Gal,5,5,3,ἀπεκδεχόμεθα,πνεύματι,instrument
Jas,1,18,4,ἀπεκύησεν,λόγῳ,instrument
Luke,20,10,2,ἀπέστειλεν,καιρῷ,time
Mark,12,2,7,ἀπέστειλεν,καιρῷ,time
Luke,14,17,7,ἀπέστειλεν,ὥρᾳ,time
Phlm,1,16,10,ἀπέχῃς,ἐμοί,benefit
