lemma,pos
ἐγώ,personal pronoun
κἀγώ,personal pronoun with kai
σύ,personal pronoun
ἐμαυτοῦ,reflexive pronoun
σεαυτοῦ,reflexive pronoun
ἑαυτοῦ,reflexive pronoun
ἀλλήλων,reflexive pronoun
οὗτος,demonstrative pronoun
τοιοῦτος,demonstrative pronoun
τοσοῦτος,demonstrative pronoun
τηλικοῦτος,demonstrative pronoun
τοιόσδε,demonstrative pronoun
ἐκεῖνος,demonstrative pronoun
κἀκεῖνος,demonstrative pronoun with kai
τίς,interrogative pronoun
ποῖος,interrogative pronoun
πόσος,interrogative pronoun
ποταπός,interrogative pronoun
ὁποῖος,interrogative pronoun
ἡλίκος,interrogative pronoun
πηλίκος,interrogative pronoun
τις,indefinite pronoun
ὅς,relative pronoun
ὅσος,relative pronoun
ὅστις,relative pronoun
οἷος,relative pronoun
ὅδε,relative pronoun
οὐ,negation
μή,negation
ἐλαία,noun
κἄν,conj
ἐάν,conj
εἰ,conj
ὅτι,conj
ἵνα,conj
ὅτε,conj
ὅπως,conj
ὡς,conj
ὡσεί,conj
κἀκεῖ,adverb with kai
κἀκεῖθεν,adverb with kai
ὅθεν,relative adverb
ὅπου,relative adverb
οὗ,relative adverb
πόθεν,interrogative adverb
ποσάκις,interrogative adverb
πότε,interrogative adverb
ποῦ,interrogative adverb
πῶς,interrogative adverb
ποτέ,indefinite adverb
Ἕλλην,adj
Ἑλληνίς,adj
δεῦρο,ptcl
δεῦτε,ptcl
πλανήτης,noun
τοίνυν,adv
οὐκοῦν,adv
